range,word,meaning
pre1,preserve,"を保存する; を保護する, 守る"
pre1,prolong,を引き伸ばす; を延長する
pre1,promote,"…を促進する, 振興する; を推進する, 奨励する"
pre1,purchase,"を購入する, 買う"
pre1,pursue,を追求する; を続行する; に従う
pre1,quit,"をやめる; を離れる, 辞職する"
pre1,recall,を思い出す; …したことを思い出す; …と思い出す
pre1,reduce,"を減少させる, 減らす"
pre1,rejoice,"喜ぶ; …して喜ぶ, 歓喜する, うれしがる"
pre1,release,"を解き放す, 自由にする; …を救出する"
pre1,rely,頼る；～次第である
pre1,replace,"Aに取って代わる, Aの跡を継ぐ"
pre1,respond,"反応する, 応じる, 報いる"
pre1,restrain,"を制止する, 禁じる; を拘束する; AにBをやめさせる"
pre1,retire,引退する
pre1,reveal,"を明らかにする, 暴露する; AがCだということを明らかにする"
pre1,search,"を調べる; Bを求めてAを捜す, 捜索する"
pre1,seize,"をつかむ, つかみ取る"
pre1,skip,"飛び跳ねる, スキップする, はね回る"
pre1,starve,餓死する; 飢えに苦しむ
pre1,stir,"をかき回す, かき混ぜる; BでAをかき回す; AをBに混ぜ入れる"
pre1,strip,を裸にする; を脱ぐ; 服を脱がされる
pre1,submit,"を提出する, 提示する"
pre1,suppose,"…することになっている, …しなければならない"
pre1,surrender,"降伏する, 降参する; 捕虜になる, 自首する"
pre1,sweep,"を掃く, 掃除する"
pre1,tend,"…しがちである, …する傾向がある, よく…になる"
pre1,threaten,"Aを脅す, 脅迫する; をすると脅す"
pre1,transfer,"を転任させる, 転勤させる; を移転する"
pre1,vanish,"消える, 姿を消す, 見えなくなる"
pre1,abolish,"を廃止する, 撤廃する"
pre1,appreciate,のよさを認める; …を評価する
pre1,assign,"をあてる; AをBに割り当てる, AをBに課す; AをBに配分する"
pre1,assure,"に保証する; を安心させる; Aに…ということを保証する節としない); AにBを保証する, 請け合う; …と言って安心させる"
pre1,bump,"ぶつかる, ドシンと当たる"
pre1,carve,"を彫る, 彫刻する"
pre1,cease,"やむ, 終わる"
pre1,chat,"雑談する, おしゃべりする"
pre1,commit,"を犯す, をする"
pre1,compose,"を構成する; 構成される, 成る"
pre1,conceal,"Aを隠す, 隠し持つ; を覆い隠す"
pre1,conclude,結論づける
pre1,condemn,"を非難する, とがめる; BだとしてAを責める, 糾弾する"
pre1,confront,の前に立ちはだかる; Aに直面する
pre1,constitute,"を構成する, …の構成要素となる; …をなす, …に等しい"
pre1,consume,"を消費する, 消耗する, 使い果たす; …を浪費する"
pre1,convert,"を変える, 転換する; 改造する, 改築する"
pre1,convey,"を伝える, 伝達する, 知らせる; …だと知らせる"
pre1,cultivate,"を耕す, 耕作する; を栽培する, を養殖する, を培養する"
pre1,deprive,"AからBを奪う, 剝奪する; AにBを与えない"
pre1,derive,"BからAを得る, 引き出す, 派生させる"
pre1,despise,"をひどく嫌う, 軽蔑する"
pre1,detect,"を見つける, 見抜く, 突き止める; 検知する"
pre1,devote,"AをBにささげる, 向ける; AをBに割く, 当てる"
pre1,discharge,"を解放する; …を退院させる, 釈放する; …を免除する"
pre1,dispose,"を配置する, 配列する"
pre1,dissolve,溶ける; 溶けてなる; 溶けて消える
pre1,edit,"を校閲する, 削除する; を編集する, …に修正を加える"
pre1,engage,"を引く, 引きつける; AをBに引き込む, 加える"
pre1,ensure,"…を確実にする, 保証する; …ということを保証する, 確実に…であるようにする"
pre1,evaluate,"…の良し悪しを評価する, …を査定する; …かを評価する"
pre1,exclaim,…と叫ぶ; …ということを突然叫ぶ
pre1,expand,"ふくらむ, 膨張する; 広がる"
pre1,extend,"Aを拡大する, 広げる"
pre1,forbid,"Aに…することを禁じる, 差し止める, 許さない; …することを禁じる"
pre1,furnish,"に家具などを備え付ける; AにBを備え付ける, 設備する"
pre1,grind,"を挽く, 砕く; Aを挽いてBにする; を作る"
pre1,illustrate,"を説明する, 例解する, 解説する; …かを例で説明する"
pre1,imply,"を暗示する, それとなく示す, 暗に意味する, ほのめかす; …だとそれとなく示す"
pre1,impose,"課す,押し付ける,無理を強いる"
pre1,interpret,解釈する
pre1,modify,"を修正する, 変更する; Aを…するよう修正する"
pre1,mourn,"を悲しむ, 嘆く; の死を悼む, を追悼する"
pre1,negotiate,"交渉する, 協議する, 話し合う; 交渉する"
pre1,omit,を除外する; あえて省く; うっかり落とす
pre1,originate,"生じる, 起こる, 始まる, 起源がある"
pre1,overcome,"を克服する, に打ち勝つ, …を乗り越える"
pre1,overtake,"を追い越す, 追い抜く"
pre1,perish,"非業の死を遂げる, 惨死する"
pre1,pierce,"を刺す, 貫く, 突き通す, …に穴をあける"
pre1,pinch,"をつねる, ひねる; を締めつける; をはさむ"
pre1,plunge,"突っ込む, 落下する"
pre1,portray,～を描く
pre1,prevail,"広く行き渡っている, 流行している"
pre1,proclaim,"を宣言する, 公布する; …と宣言する; AをCであると宣言する"
pre1,prohibit,を禁止する; …するのを禁止する(しばしば受け身で;
pre1,prompt,を刺激する; Aに…するよう促す
pre1,prosper,繁栄する; 成長する
pre1,quote,を引用する; の言葉を引用する; を口頭で言う; …と引用して言う
pre1,react,"反応する, 対応する; 反応する"
pre1,recruit,"を規に採用する, 受け入れる"
pre1,refine,"を洗練する, 向上させる; を上品にする"
pre1,regulate,"を規制する, 取り締まる, 統制する"
pre1,relieve,"を取り除く, 和らげる; を紛らわす"
pre1,renew,"を更する, 継続する; を継続して借りる"
pre1,reproduce,を複写する; 転載する; 再版する
pre1,resign,"を辞職する, 辞任する, 退陣する, やめる"
pre1,resolve,"を解決する; を解消する, 晴らす"
pre1,retain,"を保持する, 保つ, 持ち続ける, 失わない; を雇い続ける"
pre1,revive,"を蘇生させる, …の息を吹き返させる; …を元気づかせる, 回復させる"
pre1,scratch,削る
pre1,shrink,"縮む, 小さくなる"
pre1,snatch,"をひったくる, 強奪する, かっぱらう; すばやく取る, ひっつかむ"
pre1,soar,"急上昇する, 急騰する"
pre1,sob,"むせび泣く, 泣きじゃくる, 嗚咽する"
pre1,sparkle,"輝く, きらめく, きらきら光る"
pre1,specialize,"専門にする, 専攻する"
pre1,startle,"をびっくりさせる, どきっとさせる"
pre1,steer,"を操縦する, …の舵をとる"
pre1,stimulate,"を刺激する, 活気づける"
pre1,strive,"奮闘する, 励む, 懸命になる; 闘う"
pre1,stumble,"つまずく, よろける; よろめきながら歩く"
pre1,sue,"を告訴する, …に訴訟を起こす"
pre1,summon,"招集する,呼び出す,召喚する"
pre1,suspend,"を一時停止する; を延期する, 見合わせる; の執行を猶予する"
pre1,sustain,"を持続させる, 維持する"
pre1,tighten,締め付ける
target1900,create,を創り出す；を引き起こす
target1900,increase,増加する（⇔ decrease ⇒ 223）；を増やす
target1900,improve,を向上させる；よくなる
target1900,mean,を意味する；（...する）つもりである（to do）
target1900,own,を所有している；（事実・罪など）を認める
target1900,include,を含む（⇔ exclude ⇒ 1009）
target1900,consider,を見なす；について考える
target1900,allow,を許す；を与える；（～を）考慮に入れる（for）
target1900,suggest,を提案する；を暗示する
target1900,produce,を生産する；を取り出す
target1900,offer,を提供する，申し出る
target1900,require,を要求する；を必要とする
target1900,share,を共有する；を分担する
target1900,store,を保存する；を蓄える
target1900,tend,傾向がある；を世話する
target1900,concern,〔受身形で〕心配している；〔受身形で〕（～に）関係する（with）；に関連する
target1900,describe,について述べる，を説明する
target1900,involve,を関与させる；を伴う
target1900,reduce,を減らす；を（～に）変える（to）
target1900,force,に強いる；を強要する
target1900,bear,に耐える（≒ endure ⇒ 824）；を負う；を産む；を（心に）抱く
target1900,affect,に影響を及ぼす（≒ influence ⇒ 49）；を感動させる
target1900,deal,〔deal withで〕を処理する；〔deal inで〕を商う；を分配する
target1900,avoid,を避ける
target1900,relate,を関連づける；（～に）関連する（to）
target1900,realize,に気づく；を実現する
target1900,encourage,を奨励する；を励ます（⇔ discourage ⇒ 706）
target1900,compare,を比較する；を（～に）たとえる（to）
target1900,exist,存在する；生存する
target1900,challenge,に異議を唱える；（人）に挑む
target1900,depend,頼る；～次第である
target1900,object,反対する；（...）と言って反対する（that節）
target1900,demand,を要求する
target1900,complete,を完成させる，仕上げる
target1900,accord,一致；合意，協定
target1900,interest,興味；利子；利害
target1900,cause,原因（⇔ effect ⇒ 48）；理由；大義
target1900,effect,影響，効果；結果
target1900,influence,影響（力）
target1900,situation,状況；（人の置かれた）立場
target1900,environment,環境（≒ surroundings）
target1900,skill,技能；熟練
target1900,matter,事柄；問題；〔～s〕事態；〔the ～〕困難；物質
target1900,view,（～についての）見解（on / about）；（～に対する）（特定の）見方（of）；眺め
target1900,value,価値；価格；評価；〔～s〕価値観
target1900,species,（生物の）種；種類
target1900,thought,考え；思考
target1900,memory,記憶（力）；（～の）思い出（of）
target1900,practice,実践，実行；（社会の）慣習；練習
target1900,benefit,利益，恩恵；給付金
target1900,theory,学説；理論；原理；推測
target1900,issue,問題（点）；発行（物）；発表
target1900,experiment,（～を対象とする）実験（on）
target1900,article,記事；条項；品物
target1900,focus,焦点；関心の的
target1900,subject,話題；科目；主題；被験者
target1900,quality,質（⇔ quantity ⇒ 471）；特質
target1900,term,（専門）用語；〔～s〕条件；〔～s〕間柄；学期
target1900,statement,声明；主張；明細書
target1900,material,材料，素材；資料；生地
target1900,evidence,証拠
target1900,technology,科学技術；応用技術
target1900,appropriate,（～に）適切な（for / to）
target1900,likely,ありそうな（⇔ unlikely ありそうもない）
target1900,possible,可能な；可能性のある
target1900,individual,個々の；個人の
target1900,public,公の（⇔ private 私的な）；公衆の；公開の
target1900,common,共通の；普通の；一般の
target1900,certain,確信して；確かな；ある；一定の
target1900,similar,似ている，類似した；同様の
target1900,recent,最近の
target1900,patient,忍耐強い；勤勉な
target1900,particular,特定の；特別の；（～について）やかましい（about）
target1900,physical,身体の（⇔ mental ⇒ 183）；物質的な；物理学の
target1900,various,さまざまな；いくつかの
target1900,available,手に入る；利用できる；手が空いている
target1900,native,出生地の；原産の；生得の
target1900,political,政治（上）の
target1900,due,予定された；（支払）期日で；しかるべき
target1900,blank,空白の；無表情な；がらんとした
target1900,ancient,古代の；昔からの
target1900,correct,正しい；適切な
target1900,despite,～にもかかわらず（≒ in spite of）
target1900,notice,に気づく
target1900,refer,言及する，関連する；参照する
target1900,approach,に近づく；に取り組む
target1900,wonder,かなと思う；（に）驚く（at）
target1900,recognize,を識別できる；を認める
target1900,occur,起こる；心に浮かぶ；現れる
target1900,argue,"と主張する（≒ claim ⇒ 110, maintain ⇒ 206）；議論する"
target1900,claim,と主張する；を（自分のものとして）要求する
target1900,express,を表す，述べる
target1900,waste,を浪費する，無駄にする
target1900,advance,を進歩させる；を進める；進歩する；進む
target1900,spread,を広める；広がる
target1900,prepare,を準備する；を調理する；（～のために）準備をする（for）
target1900,gain,を獲得する；（を）増す
target1900,establish,を確立する；を設立する
target1900,supply,を供給する
target1900,suppose,と思う；と仮定する
target1900,perform,（を）行う；（を）演じる，（を）演奏する
target1900,prefer,のほうを好む
target1900,determine,を決定する；を正確に知る
target1900,treat,を扱う；を治療する
target1900,prove,を証明する；判明する，わかる
target1900,apply,を適用［応用］する；申し込む；（～に）適用される（to / in）
target1900,mention,に言及する；と言う
target1900,contain,を含む；を収容する；（感情など）を抑える
target1900,regard,を見なす；を見る；を評価する
target1900,respect,を尊敬する；を尊重する
target1900,search,捜す；を捜索する；を詳しく調べる
target1900,connect,をつなぐ；を関連づける
target1900,decline,減少する；衰退する；を断る
target1900,prevent,を妨げる；を防ぐ
target1900,suffer,苦しむ；患う；（苦痛など）を経験する
target1900,survive,を切り抜けて生き残る；より長生きする；生き延びる
target1900,publish,を出版する；を公表する
target1900,opportunity,機会（≒ chance）
target1900,industry,産業；勤勉（≒ diligence）
target1900,medium,（情報伝達の）媒体；手段
target1900,economy,経済（状態）；経済圏；節約
target1900,account,説明；勘定；口座
target1900,trade,貿易；商売，取引
target1900,figure,数字；姿；人物；図表
target1900,cell,細胞；独房；電池
target1900,emotion,感情，情動；感動
target1900,stress,ストレス；圧力；強調
target1900,decade,10年間
target1900,range,範囲；射程距離；（同類の）組
target1900,advantage,利点；優勢；有利
target1900,method,方法；体系；秩序
target1900,resource,〔通例～s〕資源；〔通例～s〕資金；才覚
target1900,region,地域；領域；部位
target1900,medicine,薬；医学
target1900,detail,〔～s〕詳細（な情報），細部
target1900,feature,特徴；〔通例～s〕顔つき；特集記事［番組］
target1900,function,機能；関数
target1900,access,利用，入手；接近（の機会・方法・権利）
target1900,income,収入；所得
target1900,attitude,態度；考え方，心構え
target1900,aspect,（物事の）側面；観点；様相
target1900,structure,構造；体系；構造物
target1900,habit,習慣，癖
target1900,positive,肯定的な；積極的な；確信して；（検査結果が）陽性の
target1900,negative,否定的な；消極的な；（検査結果が）陰性の
target1900,complex,複雑な；複合（体）の
target1900,current,現在の；現代の；通用している
target1900,mental,精神の；知能の；頭の中で行う
target1900,specific,特定の；明確な，具体的な；（～に）特有の（to）
target1900,significant,重要な，重大な；意義深い
target1900,essential,（～に）必要不可欠な（to / for）；本質的な
target1900,official,公用の；公式の；役所の
target1900,financial,財政（上）の；財界の
target1900,academic,学問の；大学の
target1900,aware,気づいて，知って
target1900,worth,（...する）に値する（doing）；の価値がある
target1900,potential,潜在的な；可能性を秘めた
target1900,active,積極的な；活動的な；効力のある
target1900,mobile,可動［移動］式の；流動性のある
target1900,novel,斬な，目しい
target1900,plastic,柔軟な；プラスチックの，ビニールの
target1900,chemical,化学の，化学的な
target1900,necessary,必要な（≒ essential ⇒ 186）
target1900,eventually,結局（は）
target1900,identify,を特定する；を（～と）同一視する（with）
target1900,represent,を表す；を代表する；に相当する
target1900,indicate,を指し示す；を述べる
target1900,manage,をなんとか成し遂げる；を管理する
target1900,attend,に出席する；（を）世話する；（～に）対処［対応］する（to）
target1900,maintain,を維持する；と主張する；を養う
target1900,survey,を調査する；をじろじろ見る；を概観する
target1900,replace,に取って代わる；を取り替える
target1900,conduct,（調査・実験など）を実施する；を導く
target1900,associate,を結び付けて考える；（～と）交際する（with）
target1900,attempt,を試みる，企てる
target1900,promote,を促進する；〔通例受身形で〕昇進する
target1900,earn,を稼ぐ；を得る；をもたらす
target1900,seek,を追い求める；（助けなど）を要請する
target1900,observe,に気づく；を観察する；を遵守する
target1900,reveal,を明らかにする；を見せる
target1900,estimate,と推定する；を見積もる；を評価する
target1900,reflect,を反映する；（を）反射する；（を）熟考する
target1900,attract,を引きつける
target1900,decrease,減少する（⇔ increase ⇒ 2）；を減らす
target1900,ignore,を無視する
target1900,match,（と）合う；に匹敵する；一致する
target1900,define,を定義する；を明確にする
target1900,adapt,適応する；を（～に）適合させる（to）
target1900,contribute,貢献する，一因となる；（を）寄付する；（を）寄稿する
target1900,display,を示す；を発揮する；を展示［陳列］する
target1900,respond,反応する；答える
target1900,hide,を隠す（≒ conceal ⇒ 1116）；隠れる
target1900,doubt,ではないと思う；を疑う
target1900,remove,を取り除く；を解雇する
target1900,assume,を当然のことと思う，と仮定する；（権力など）を手に入れる；（責任など）を引き受ける
target1900,relax,くつろぐ；緩む；をくつろがせる；を緩める
target1900,satisfy,を満足させる；（条件など）を満たす
target1900,desire,を強く望む
target1900,succeed,（～に）成功する（in）；（～を）継承する（to）
target1900,device,装置，機器；方策；デバイス
target1900,charge,料金；世話；管理；告発
target1900,contrast,（～との）対照（with / to）
target1900,colleague,（職場の）同僚
target1900,pain,苦痛，痛み；苦悩；〔～s〕骨折り
target1900,bill,請求書；【英】勘定書（≒ 【米】check）；法案
target1900,content,内容，中身；コンテンツ
target1900,audience,〔集合的に〕聴衆，観客；視聴者
target1900,surface,表面；〔the ～〕外見
target1900,crop,〔しばしば～s〕作物；収穫高
target1900,status,地位；状態
target1900,option,選択（の自由）；選択肢
target1900,reward,報酬；報い
target1900,conflict,争い；論争；不一致
target1900,struggle,闘い；懸命の努力
target1900,context,状況，背景；文脈
target1900,fuel,燃料；勢いを増加させるもの
target1900,pollution,汚染，公害
target1900,trend,（～への）傾向（toward）；流行
target1900,strategy,戦略
target1900,consequence,〔通例～s〕結果；重大性
target1900,aim,目的，目標；狙い
target1900,ancestor,祖先（⇔ descendant 子孫）；原型
target1900,gene,遺伝子
target1900,track,跡；軌道；【米】（鉄道の）番線；走路
target1900,revolution,革命；回転；（天体の）公転（⇔ rotation 自転）
target1900,progress,進歩；前進
target1900,cognitive,認知の
target1900,ideal,理想的な；観念的な
target1900,efficient,効率的な；有能な
target1900,universal,普遍的な；宇宙の；万能の
target1900,vast,莫大な；広大な
target1900,entire,全体の，全部の（≒ whole）；完全な
target1900,familiar,精通している；よく知られている
target1900,obvious,明らかな（≒ clear）
target1900,ordinary,一般の，普通の；並の
target1900,previous,以前の，前の
target1900,rare,まれな，珍しい；希少な
target1900,legal,法律の；合法の（⇔ illegal 違法の）
target1900,independent,（～から）独立した（of / from）
target1900,extreme,極端な；極度の，過激な
target1900,actual,実際の，現実の
target1900,willing,いとわない，かまわないと思う
target1900,urban,都市の；都会的な（⇔ rural ⇒ 387）
target1900,predict,を予言［予測］する
target1900,examine,を調べる；を診察する；を尋問する
target1900,trust,を信頼する；を（信頼して）託す
target1900,stick,を動けなくする；を突き刺す；（～に）くっつく（to / on）
target1900,emerge,現れる；明らかになる；台頭する
target1900,vary,さまざまである；変わる；を変える
target1900,release,を放出する；を解放する；を発表する
target1900,divide,を分ける；分かれる
target1900,enable,（人）が...できるようにする；を可能にする
target1900,judge,（を）判断する；に判決を下す
target1900,rely,頼る（≒ depend ⇒ 36）
target1900,engage,を従事させる；を（～として）雇う（as）；（～に）従事する（in / with）
target1900,adopt,を採用する；（態度など）をとる；を養子にする
target1900,acquire,を得る；を習得する
target1900,expand,（を）拡大する；（を）詳説する
target1900,refuse,を拒む；を断る；拒絶する
target1900,consume,を消費する；を食べる，飲む
target1900,confuse,を混同する；を当惑させる
target1900,select,を選ぶ，えり抜く
target1900,evolve,（徐々に）発展する；進化する
target1900,convince,を納得［確信］させる
target1900,recall,を思い出す；を呼び戻す
target1900,destroy,を破壊する；（人）を破滅させる
target1900,preserve,を保存する；を保持する；を保護する
target1900,organize,を準備する；を組織する
target1900,warn,（人）に（～を）警告［注意］する（of / against）
target1900,address,（問題など）に対処する；に演説する；（手紙など）を（～宛てに）出す（to）
target1900,operate,を操作する；機能する；手術する
target1900,participate,参加する
target1900,surround,を取り巻く；にまつわる
target1900,flow,流れる；（～から）生じる（from）
target1900,complain,（と）不平［苦情］を言う；訴える
target1900,combine,を（～と）結び付ける（with）；（～と）結び付く（with）
target1900,extend,を伸［延］ばす；伸びる；及ぶ
target1900,appreciate,を正当に評価する；を鑑賞する；を感謝する
target1900,target,（到達・攻撃）目標；的
target1900,principle,原則，原理；主義，信条
target1900,phenomenon,現象
target1900,atmosphere,〔the ～〕大気；雰囲気
target1900,origin,起源；源
target1900,personality,個性，性格
target1900,profit,利益；収益（率）；得
target1900,circumstance,〔通例～s〕状況，事情；境遇
target1900,manner,〔～s〕作法；方法；物腰
target1900,threat,脅威；（悪い）兆し；脅迫
target1900,resident,居住者；滞在者
target1900,wealth,富；資源；富裕
target1900,institution,機関；協会；施設；制度
target1900,authority,〔通例 the ～ties〕（関係）当局；権威；権限
target1900,vote,投票；投票結果；〔the ～〕選挙権
target1900,sight,光景；〔the ～s〕名所；見（え）ること；視野；視力
target1900,campaign,運動；軍事行動
target1900,analysis,分析（結果）（⇔ synthesis ⇒ 1868）
target1900,version,（本・製品などの）版；解釈
target1900,perspective,観点，見方；大局観；遠近法
target1900,crisis,危機
target1900,disaster,災害；惨事
target1900,psychology,心理学；心理（状態）
target1900,gender,（社会的・文化的）性，性別
target1900,custom,（社会的な）慣習；〔～s〕税関；〔～s〕関税
target1900,court,裁判所，法廷；裁判；宮廷；中庭
target1900,desert,砂漠；不毛の地
target1900,agriculture,農業；農学，畜産
target1900,fossil,化石；時代遅れの人［物］
target1900,document,（公）文書，書類；記録，資料
target1900,vocabulary,語彙
target1900,intelligent,聡明な；知能を有する
target1900,conscious,意識して，気づいて（≒ aware）
target1900,capable,能力がある；有能な
target1900,accurate,正確な；精密な
target1900,fundamental,基本的な；必須の
target1900,artificial,人工の（⇔ natural 自然の）；不自然な
target1900,overall,総合的な；全体的な
target1900,rural,田舎の（⇔ urban ⇒ 299），田園の
target1900,military,軍の，軍事（用）の
target1900,nuclear,核の，原子力の
target1900,biological,生物学（上）の
target1900,constant,絶え間ない；一定の
target1900,severe,（人・規律・事態・天気などが）厳しい；猛烈な
target1900,visual,視覚の；目に見える
target1900,enormous,莫大な，巨大な
target1900,convenient,便利な，都合のいい
target1900,domestic,家庭の；国内の；（動物が）飼いならされた
target1900,mass,大規模な，大量の；大衆（向け）の
target1900,typical,典型的な；（～に）特有の（of）
target1900,nevertheless,それにもかかわらず（≒ nonetheless ⇒ 1000）
target1900,demonstrate,を論証［証明］する；デモをする
target1900,behave,振る舞う；作動する
target1900,educate,を教育する；に教える；（能力など）を養う
target1900,purchase,を購入する
target1900,recommend,を勧める
target1900,admit,（を）（しぶしぶ）認める；に（～への）入場［入学など］を認める（to / into）
target1900,generate,を生み出す；（電気など）を発生させる
target1900,explore,（を）調査［探究］する；（を）探検［探査］する
target1900,amaze,をびっくりさせる
target1900,tear,を引き裂く；裂ける
target1900,settle,を解決する；（に）移り住む；を落ち着かせる
target1900,afford,を持つ［する］余裕がある；を与える
target1900,conclude,と結論づける；を締めくくる；を締結する
target1900,advertise,を宣伝する；（～を求める）広告を出す（for）
target1900,encounter,に遭遇する；に（思いがけず）出会う
target1900,remind,に思い出させる
target1900,locate,〔受身形で〕位置する；の位置を探し当てる
target1900,aid,を援助する，助ける（≒ help）
target1900,deliver,を配達する；（演説・講義）をする；子を産む
target1900,perceive,に気づく；を知覚する；を理解する
target1900,distinguish,を区別する
target1900,imply,を暗に意味する；を必然的に伴う
target1900,handle,を処理する，扱う；を論じる；を商う
target1900,praise,を（～のことで）賞賛する（for）；賛美する
target1900,appeal,訴える；抗議する；（上級審に）上訴する
target1900,insist,（を）強く主張する；要求する
target1900,compete,競う；〔通例否定文で〕（～に）匹敵する（with）
target1900,deny,を否定する；を拒む
target1900,reject,を拒否する
target1900,intend,を意図する
target1900,expose,をさらす；を暴露する；を露出する
target1900,favor,に賛成する；を好む；をひいきする
target1900,inspire,（人）を奮起させる；を喚起する
target1900,propose,を提案する；をもくろむ；結婚を申し込む
target1900,spell,（語）をつづる；という語になる
target1900,breathe,呼吸する；を吸う
target1900,repair,を修理する（≒ fix）；を修復する
target1900,consist,（～から）成る（of）；（～に）ある（in）
target1900,instruction,〔通例～s〕指示；〔～s〕（製品の）使用書
target1900,religion,宗教；信条；信仰（心）
target1900,neighborhood,地域；近所
target1900,laboratory,実験室，研究室
target1900,presence,存在；出席；面前
target1900,confidence,自信；信頼；秘密
target1900,harm,害，損害
target1900,instrument,器具；楽器（≒ musical instrument）
target1900,category,部類，区分；範疇
target1900,capital,資本；首都；大文字（≒ capital letter）
target1900,outcome,結果（≒ result）；成果
target1900,notion,概念，観念；見解；意向
target1900,review,（書物などの）論評；再調査；【米】復習
target1900,trait,特性（≒ feature）
target1900,diversity,多様性；相違点
target1900,victim,犠牲（者），被害者
target1900,occasion,場合，時；行事；機会
target1900,facility,施設，設備；機能；才能
target1900,stock,在庫品；蓄え；株
target1900,conference,会議；協議
target1900,humanity,人類；人間性；人情；〔（the） ～ties〕人文科学
target1900,dialect,方言
target1900,proportion,割合；部分；釣り合い
target1900,lawyer,弁護士
target1900,stuff,（漠然と）物；素材；素質
target1900,comfort,快適さ；慰め
target1900,philosophy,哲学；原理；人生観
target1900,mammal,哺乳動物
target1900,quantity,量（⇔ quality ⇒ 69）；分量
target1900,landscape,風景；領域；状況
target1900,tribe,部族；仲間
target1900,organ,器官，臓器；組織；（パイプ）オルガン
target1900,norm,規範；標準
target1900,code,規範；暗号；法典
target1900,substance,物質；実体；趣旨
target1900,multiple,多様な；種々雑多な
target1900,numerous,非常に数の多い
target1900,widespread,広範囲にわたる；広く普及した
target1900,sufficient,（～に；...するのに）十分な（for；to do）
target1900,proper,適切な；正式の；〔名詞の後ろで〕主要な；（～に）固有の（to）
target1900,linguistic,言語の，言語学の
